Task ID,Priority,Start Time,End Time,Duration,Orbit,Orbit Length,Init Start Time,Init End Time
0,2,33,46,13,44,10,30,49
1,6,97,101,4,17,13,57,119
2,2,51,57,6,24,10,41,59
3,10,76,78,2,25,13,27,114
4,10,67,80,13,40,16,65,114
5,5,65,70,5,18,13,46,116
6,10,97,102,5,6,19,94,107
7,9,75,88,13,38,14,54,95
8,7,79,82,3,30,10,76,85
9,7,70,73,3,42,12,65,79
10,9,108,115,7,37,16,97,116
11,7,71,88,17,36,18,63,95
12,4,62,68,6,48,13,45,94
13,4,53,54,1,10,19,28,69
14,9,70,74,4,24,12,32,87
15,8,76,80,4,39,19,75,81
16,1,72,77,5,37,16,60,119
17,6,14,16,2,17,10,9,21
18,2,49,54,5,10,17,17,76
19,6,64,84,20,46,14,59,97
20,7,79,92,13,31,20,61,108
21,4,92,102,10,5,14,92,116
22,7,49,53,4,6,16,42,77
23,3,60,62,2,36,13,50,91
24,6,100,107,7,28,13,100,107
25,10,66,73,7,26,10,39,107
26,7,37,50,13,39,19,36,51
27,10,104,111,7,1,12,100,120
28,4,76,79,3,5,17,76,79
29,10,60,73,13,11,16,59,120
30,2,79,82,3,43,17,79,84
31,9,49,58,9,20,17,9,65
32,10,54,58,4,5,13,25,120
33,4,67,82,15,2,10,37,87
34,8,56,71,15,2,17,55,74
35,8,25,37,12,30,14,20,40
36,10,70,73,3,18,17,70,74
37,8,47,58,11,22,11,13,77
38,3,45,58,13,15,16,28,66
39,4,54,71,17,9,12,43,89
40,10,58,62,4,3,16,58,62
41,8,72,74,2,29,11,1,86
42,2,88,90,2,4,13,88,90
43,7,79,82,3,17,15,74,118
44,3,94,102,8,3,13,57,104
45,10,82,91,9,21,18,22,93
46,2,17,25,8,32,18,12,36
47,10,22,25,3,2,11,15,53
48,8,71,73,2,23,17,67,73
49,9,35,42,7,24,16,31,44
50,4,79,85,6,50,11,61,107
51,5,44,51,7,26,20,24,94
52,10,71,83,12,48,18,66,94
53,5,7,8,1,18,10,4,86
54,1,29,47,18,25,12,25,87
55,1,27,37,10,5,16,19,61
56,8,91,108,17,38,12,66,110
57,9,73,89,16,13,10,73,90
58,6,72,84,12,21,15,22,115
59,6,76,95,19,48,11,76,95
60,7,46,66,20,1,14,34,112
61,2,89,100,11,13,14,81,116
62,3,4,19,15,6,18,2,27
63,4,44,54,10,36,13,43,54
64,7,77,81,4,16,19,76,82
65,6,76,91,15,3,11,53,97
66,1,106,111,5,18,17,29,116
67,2,116,119,3,22,10,96,119
68,7,93,108,15,38,18,40,116
69,3,48,60,12,15,17,4,60
70,1,95,107,12,36,19,91,107
71,9,104,111,7,11,12,100,114
72,5,33,42,9,25,14,7,70
73,6,99,102,3,24,17,6,108
74,1,42,54,12,24,15,41,70
75,3,26,45,19,37,14,25,45
76,1,75,78,3,9,14,55,94
77,6,78,79,1,45,12,77,80
78,10,22,28,6,1,20,17,67
79,10,100,102,2,27,16,98,103
80,6,58,62,4,48,12,32,98
81,4,70,80,10,16,11,52,83
82,1,52,64,12,45,14,52,73
83,10,42,51,9,48,11,42,53
84,10,79,91,12,30,18,64,96
85,8,78,79,1,33,19,78,79
86,1,30,34,4,33,17,23,106
87,8,19,28,9,11,18,15,120
88,10,36,56,20,32,20,26,60
89,6,19,21,2,40,19,17,22
90,3,40,45,5,11,18,39,50
91,10,39,59,20,43,13,33,59
92,3,89,99,10,19,20,89,99
93,3,56,65,9,21,12,42,92
94,7,80,87,7,47,15,78,108
95,5,54,62,8,1,10,36,107
